swi_issue_id,issue_name,Year,Quarter,lobbying_expenses
1,Macroeconomics,2020,4,61044429
1,Macroeconomics,2021,3,36084703
1,Macroeconomics,2022,2,38690434
1,Macroeconomics,2023,1,31598209
1,Macroeconomics,2023,4,31290872
1,Macroeconomics,2024,3,24059952
2,"Civil Rights, Minority Issues, and Civil Liberties",2010,1,75869219
2,"Civil Rights, Minority Issues, and Civil Liberties",2010,4,117792119
2,"Civil Rights, Minority Issues, and Civil Liberties",2011,3,39068666
2,"Civil Rights, Minority Issues, and Civil Liberties",2012,2,53899467
2,"Civil Rights, Minority Issues, and Civil Liberties",2013,1,40571461
2,"Civil Rights, Minority Issues, and Civil Liberties",2013,4,45223433
2,"Civil Rights, Minority Issues, and Civil Liberties",2014,3,84149464
2,"Civil Rights, Minority Issues, and Civil Liberties",2015,2,40383794
2,"Civil Rights, Minority Issues, and Civil Liberties",2016,1,42225089
2,"Civil Rights, Minority Issues, and Civil Liberties",2016,4,66854675
2,"Civil Rights, Minority Issues, and Civil Liberties",2017,3,50783383
2,"Civil Rights, Minority Issues, and Civil Liberties",2018,2,69344665
2,"Civil Rights, Minority Issues, and Civil Liberties",2019,1,76584078
4,Agriculture,2013,4,212659593
4,Agriculture,2014,3,237568082
4,Agriculture,2015,2,193165486
4,Agriculture,2016,1,194041472
4,Agriculture,2016,4,138473148
4,Agriculture,2017,3,132830382
4,Agriculture,2018,2,183686529
4,Agriculture,2019,1,168021727
4,Agriculture,2019,4,169873124
4,Agriculture,2020,3,144833463
4,Agriculture,2021,2,168423068
4,Agriculture,2022,1,153471628
4,Agriculture,2022,4,170037306
4,Agriculture,2023,3,189218695
4,Agriculture,2024,2,194587438
5,Labor and Employment,2010,3,200040374
5,Labor and Employment,2011,2,148169299
5,Labor and Employment,2012,1,180045979
6,Education,2019,4,120199198
6,Education,2020,3,106437603
6,Education,2021,2,105788431
6,Education,2022,1,118607265
6,Education,2022,4,119842379
6,Education,2023,3,110894953
6,Education,2024,2,120095184
7,Environment,2010,3,449971137
7,Environment,2011,2,340907494
7,Environment,2012,1,390284359
7,Environment,2012,4,423681955
7,Environment,2013,3,323832222
7,Environment,2014,2,375160673
7,Environment,2015,1,366516258
7,Environment,2015,4,342922869
7,Environment,2016,3,328661949
7,Environment,2017,2,262101468
7,Environment,2018,1,297241564
9,Immigration,2012,4,114832618
9,Immigration,2013,3,137270532
9,Immigration,2014,2,143218308
9,Immigration,2015,1,119537586
9,Immigration,2015,4,110095758
9,Immigration,2016,3,110419935
9,Immigration,2017,2,116286256
9,Immigration,2018,1,137039011
9,Immigration,2018,4,141376447
9,Immigration,2019,3,115591974
9,Immigration,2020,2,133661067
9,Immigration,2021,1,137042126
9,Immigration,2021,4,136407863
2,"Civil Rights, Minority Issues, and Civil Liberties",2010,2,49501365
2,"Civil Rights, Minority Issues, and Civil Liberties",2011,1,46017371
3,Health,2018,4,569450892
3,Health,2019,3,592435596
3,Health,2020,2,621730690
